ESTADÍSTICAS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
States,4,4,6,7,7,7,7,7,7,7,8,8,4,5,6
Test Centers,6,6,8,9,9,9,13,14,15,17,14,19,15,16,17
Families,"8,209","9,251","19,414","22,062","14,485","14,690","24,936","35,533","38,533","32,180","31,137","46,333","41,309","41,262","47,221"
Children,"9,675","11,514","23,311","25,543","15,913","16,281","28,966","42,409","44,444","40,683","38,875","57,436","51,653","51,432","53,832"
Nutritional Packets ,"123,135","138,765","210,710","438,191","317,586","294,835","374,280","675,753","718,301","815,309","596,214","819,876","849,934","523,680","682,765"
,,,,,,,,,,,,,,,
,Chiapas,Chiapas,Chiapas,Chiapas,Chiapas,Chiapas,Chiapas,Chiapas,Chiapas,Chiapas,Chiapas,Chiapas,Chiapas,Chiapas,Chiapas
,Edo Mex,Edo Mex,Edo Mex,Edo Mex,Edo Mex,Edo Mex,Edo Mex,Edo Mex,Edo Mex,Edo Mex,Edo Mex,Edo Mex,Edo Mex,Edo Mex,Edo Mex
,Oaxaca,Oaxaca,Oaxaca,Oaxaca,Oaxaca,Oaxaca,Oaxaca,Oaxaca,Oaxaca,Oaxaca,Oaxaca,Oaxaca,Oaxaca,Oaxaca,Oaxaca
Name of Staes,Yucatán,Yucatán,Yucatán,Yucatán,Yucatán,Yucatán,Yucatán,Yucatán,Yucatán,Yucatán,Yucatán,Yucatán,Yucatán,Yucatán,Yucatán
,,,Guerrero,Guerrero,Guerrero,Guerrero,Guerrero,Guerrero,Guerrero,Guerrero,Guerrero,Guerrero,,,Guerrero
,,,Veracruz,Veracruz,Veracruz,Veracruz,Veracruz,Veracruz,Veracruz,Veracruz,Veracruz,Veracruz,,,
,,,,Puebla,Puebla,Puebla,Puebla,Puebla,Puebla,Puebla,Puebla,Puebla,,,
,,,,,,,,,,,SLP,SLP,,,
,,,,,,,,,,,,,,Sinaloa,Sinaloa
,PESO,PESO,PESO,PESO,PESO,PESO,PESO,PESO,PESO,PESO,PESO,PESO,PESO,PESO,PESO
,TALLA,TALLA,TALLA,TALLA,TALLA,TALLA,TALLA,TALLA,TALLA,TALLA,TALLA,TALLA,TALLA,TALLA,TALLA
,PAQUETE,PAQUETE,PAQUETE,PAQUETE,PAQUETE,PAQUETE,PAQUETE,PAQUETE,PAQUETE,PAQUETE,PAQUETE,PAQUETE,PAQUETE,PAQUETE,PAQUETE
Test Measures ,,,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB,HB
,,,,TALLERES,TALLERES,TALLERES,TALLERES,TALLERES,TALLERES,TALLERES,TALLERES,TALLERES,TALLERES,TALLERES,TALLERES
,,,,,,,,,NEURO,NEURO,NEURO,NEURO,NEURO,NEURO,NEURO
,,,,,,,,,,,AGUA,AGUA,AGUA,AGUA,AGUA
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
